CUSTOMER_ID,PREDICTED_DATE,PREDICTED_QUANTITY,MAPE,PREDICTION_MODEL,FORECAST_GENERATION_DATETIME
6,2026-02-01,31513507.485705376,157.94,ARIMA,2025-06-05 10:43:45
6,2026-03-01,31513507.485705376,157.94,ARIMA,2025-06-05 10:43:45
6,2026-04-01,31513507.485705376,157.94,ARIMA,2025-06-05 10:43:45
6,2026-05-01,31513507.485705376,157.94,ARIMA,2025-06-05 10:43:45
7,2025-06-01,37038868.88525662,264.85,ARIMA,2025-06-05 10:43:45
7,2025-07-01,38082410.49751326,264.85,ARIMA,2025-06-05 10:43:45
7,2025-08-01,38606443.37690469,264.85,ARIMA,2025-06-05 10:43:45
7,2025-09-01,38899303.09016333,264.85,ARIMA,2025-06-05 10:43:45
7,2025-10-01,39072052.395126626,264.85,ARIMA,2025-06-05 10:43:45
7,2025-11-01,39176447.227315634,264.85,ARIMA,2025-06-05 10:43:45
7,2025-12-01,39240183.90558555,264.85,ARIMA,2025-06-05 10:43:45
7,2026-01-01,39279262.35201922,264.85,ARIMA,2025-06-05 10:43:45
7,2026-02-01,39303263.74872789,264.85,ARIMA,2025-06-05 10:43:45
7,2026-03-01,39318015.43603971,264.85,ARIMA,2025-06-05 10:43:45
7,2026-04-01,39327084.683564916,264.85,ARIMA,2025-06-05 10:43:45
7,2026-05-01,39332661.05040485,264.85,ARIMA,2025-06-05 10:43:45
8,2025-06-01,27033247.026121102,54.39,ARIMA,2025-06-05 10:43:45
8,2025-07-01,27552739.053569503,54.39,ARIMA,2025-06-05 10:43:45
8,2025-08-01,27934769.47408355,54.39,ARIMA,2025-06-05 10:43:45
8,2025-09-01,28215711.691647492,54.39,ARIMA,2025-06-05 10:43:45
8,2025-10-01,28422314.42632904,54.39,ARIMA,2025-06-05 10:43:45
8,2025-11-01,28574248.48005729,54.39,ARIMA,2025-06-05 10:43:45
8,2025-12-01,28685979.608485386,54.39,ARIMA,2025-06-05 10:43:45
8,2026-01-01,28768145.816478126,54.39,ARIMA,2025-06-05 10:43:45
8,2026-02-01,28828570.210564964,54.39,ARIMA,2025-06-05 10:43:45
8,2026-03-01,28873005.842803024,54.39,ARIMA,2025-06-05 10:43:45
8,2026-04-01,28905683.463195182,54.39,ARIMA,2025-06-05 10:43:45
8,2026-05-01,28929714.332583368,54.39,ARIMA,2025-06-05 10:43:45
9,2025-06-01,36248080.76048482,312.76,ARIMA,2025-06-05 10:43:45
9,2025-07-01,37598812.17983225,312.76,ARIMA,2025-06-05 10:43:45
9,2025-08-01,37761025.80130387,312.76,ARIMA,2025-06-05 10:43:45
9,2025-09-01,37621519.08279116,312.76,ARIMA,2025-06-05 10:43:45
9,2025-10-01,37484178.697214,312.76,ARIMA,2025-06-05 10:43:45
9,2025-11-01,37407126.46270022,312.76,ARIMA,2025-06-05 10:43:45
9,2025-12-01,37375379.67050618,312.76,ARIMA,2025-06-05 10:43:45
9,2026-01-01,37366277.37020252,312.76,ARIMA,2025-06-05 10:43:45
9,2026-02-01,37365544.17550095,312.76,ARIMA,2025-06-05 10:43:45
9,2026-03-01,37366757.27670056,312.76,ARIMA,2025-06-05 10:43:45
9,2026-04-01,37367819.88293554,312.76,ARIMA,2025-06-05 10:43:45
9,2026-05-01,37368390.044400916,312.76,ARIMA,2025-06-05 10:43:45
10,2025-06-01,4443704.585440528,373.4,ARIMA,2025-06-05 10:43:45
10,2025-07-01,52350331.27944672,373.4,ARIMA,2025-06-05 10:43:45
10,2025-08-01,21533478.506009262,373.4,ARIMA,2025-06-05 10:43:45
10,2025-09-01,40885157.54372074,373.4,ARIMA,2025-06-05 10:43:45
10,2025-10-01,28558007.335003417,373.4,ARIMA,2025-06-05 10:43:45
10,2025-11-01,36451050.880617514,373.4,ARIMA,2025-06-05 10:43:45
10,2025-12-01,31597088.8201292,373.4,ARIMA,2025-06-05 10:43:45
10,2026-01-01,35091781.34516706,373.4,ARIMA,2025-06-05 10:43:45
10,2026-02-01,32928813.4429691,373.4,ARIMA,2025-06-05 10:43:45
